covid,home_form,away_form,ranking_diff,home_win,Season
0,0.0,2.0,-6.0,0,2018-2019
0,2.0,3.0,-3.0,0,2018-2019
0,2.0,1.3333333333333333,2.0,0,2018-2019
0,1.3333333333333333,0.3333333333333333,3.0,0,2018-2019
0,1.3333333333333333,1.3333333333333333,0.0,0,2018-2019
0,1.3333333333333333,1.0,1.0,1,2018-2019
0,1.6666666666666667,1.0,2.0,0,2018-2019
0,1.0,1.75,-3.0,1,2018-2019
0,3.0,1.5,6.0,1,2018-2019
0,1.0,1.75,-3.0,0,2018-2019
0,1.25,1.5,-1.0,0,2018-2019
0,2.25,0.75,6.0,0,2018-2019
0,1.75,1.0,3.0,0,2018-2019
0,2.25,1.0,5.0,0,2018-2019
0,0.75,1.5,-3.0,0,2018-2019
0,1.75,0.0,7.0,1,2018-2019
0,1.0,1.5,-2.0,0,2018-2019
0,1.0,1.4,-2.0,0,2018-2019
0,1.2,2.0,-4.0,0,2018-2019
0,2.0,1.0,5.0,1,2018-2019
0,1.6,1.4,1.0,1,2018-2019
0,1.4,1.8,-2.0,0,2018-2019
0,1.2,1.2,0.0,1,2018-2019
0,1.0,0.8,1.0,1,2018-2019
0,0.0,0.8,-4.0,0,2018-2019
0,1.4,2.0,-3.0,1,2018-2019
0,1.4,3.0,-8.0,0,2018-2019
0,0.6,1.4,-1.0,0,2018-2019
0,1.0,1.4,-2.0,0,2018-2019
0,2.2,1.2,2.0,0,2018-2019
0,0.8,1.4,-3.0,1,2018-2019
0,1.4,2.0,-6.0,1,2018-2019
0,1.2,2.2,-5.0,0,2018-2019
0,1.4,1.4,0.0,0,2018-2019
0,1.4,1.0,2.0,1,2018-2019
0,1.0,0.0,8.0,0,2018-2019
0,3.0,1.0,10.0,1,2018-2019
0,1.6,0.4,6.0,1,2018-2019
0,2.0,0.2,9.0,0,2018-2019
0,1.2,1.4,0.0,1,2018-2019
0,2.0,1.0,8.0,0,2018-2019
0,1.8,3.0,-11.0,0,2018-2019
0,0.4,2.0,-2.0,0,2018-2019
0,0.8,0.8,-2.0,1,2018-2019
0,1.8,2.0,0.0,1,2018-2019
0,1.8,0.6,3.0,1,2018-2019
0,0.8,1.6,-4.0,0,2018-2019
0,1.2,1.8,2.0,0,2018-2019
0,0.8,0.2,-3.0,1,2018-2019
0,2.0,1.4,-1.0,0,2018-2019
0,0.8,2.2,-11.0,0,2018-2019
0,1.8,2.0,1.0,1,2018-2019
0,0.6,0.6,0.0,0,2018-2019
0,1.6,1.0,5.0,1,2018-2019
0,1.8,1.6,3.0,1,2018-2019
0,0.4,0.8,-2.0,0,2018-2019
0,3.0,1.6,10.0,1,2018-2019
0,1.6,0.8,4.0,1,2018-2019
0,1.0,1.0,5.0,0,2018-2019
0,0.2,2.4,-9.0,0,2018-2019
0,0.4,0.8,-7.0,1,2018-2019
0,3.0,1.2,17.0,1,2018-2019
0,0.8,1.6,-1.0,0,2018-2019
0,1.6,0.4,6.0,1,2018-2019
0,1.8,2.2,2.0,1,2018-2019
0,1.4,1.8,-5.0,0,2018-2019
0,1.8,0.8,4.0,0,2018-2019
0,0.6,2.0,-6.0,0,2018-2019
0,1.2,0.8,1.0,0,2018-2019
0,1.2,2.0,-5.0,0,2018-2019
0,1.2,2.0,-9.0,0,2018-2019
0,2.4,1.0,11.0,1,2018-2019
0,0.2,0.2,-4.0,0,2018-2019
0,0.6,2.2,-6.0,0,2018-2019
0,2.0,0.8,3.0,0,2018-2019
0,1.8,3.0,-11.0,0,2018-2019
0,1.0,0.8,1.0,0,2018-2019
0,3.0,2.4,8.0,1,2018-2019
0,1.0,1.0,-1.0,0,2018-2019
0,0.2,0.6,0.0,0,2018-2019
0,2.0,1.4,6.0,0,2018-2019
0,1.4,1.2,4.0,1,2018-2019
0,1.2,0.2,7.0,1,2018-2019
0,1.6,0.4,3.0,0,2018-2019
0,2.2,1.8,3.0,1,2018-2019
0,1.4,1.4,5.0,1,2018-2019
0,1.6,1.0,5.0,1,2018-2019
0,2.4,1.8,8.0,0,2018-2019
0,0.4,2.6,-13.0,1,2018-2019
0,1.2,1.6,-14.0,0,2018-2019
0,1.0,1.4,-3.0,0,2018-2019
0,1.6,1.8,3.0,1,2018-2019
0,0.6,0.6,4.0,0,2018-2019
0,1.0,0.8,4.0,0,2018-2019
0,1.2,0.2,8.0,1,2018-2019
0,0.2,3.0,-29.0,0,2018-2019
0,1.6,2.0,0.0,0,2018-2019
0,2.0,1.6,1.0,1,2018-2019
0,0.4,0.2,5.0,0,2018-2019
0,0.2,1.0,-5.0,0,2018-2019
0,2.0,1.0,1.0,0,2018-2019
0,3.0,0.4,25.0,1,2018-2019
0,1.6,0.6,10.0,1,2018-2019
0,1.4,1.0,4.0,0,2018-2019
0,1.2,1.8,-9.0,0,2018-2019
0,2.0,1.6,9.0,0,2018-2019
0,2.0,2.0,-6.0,1,2018-2019
0,1.6,2.2,6.0,1,2018-2019
0,1.0,0.4,4.0,0,2018-2019
0,0.4,2.4,-16.0,0,2018-2019
0,1.4,2.6,-1.0,0,2018-2019
0,0.8,2.0,-16.0,0,2018-2019
0,1.4,0.6,4.0,1,2018-2019
0,0.6,3.0,-25.0,0,2018-2019
0,1.8,2.0,5.0,0,2018-2019
0,1.2,1.2,-1.0,0,2018-2019
0,0.2,0.4,2.0,0,2018-2019
0,0.6,0.8,3.0,0,2018-2019
0,2.0,1.0,2.0,0,2018-2019
0,2.6,1.0,7.0,0,2018-2019
0,0.8,2.0,-8.0,1,2018-2019
0,0.4,2.0,-7.0,0,2018-2019
0,0.6,0.4,5.0,1,2018-2019
0,2.2,1.0,11.0,0,2018-2019
0,1.6,1.4,-9.0,1,2018-2019
0,2.0,0.4,6.0,0,2018-2019
0,1.2,2.6,-22.0,0,2018-2019
0,0.2,0.6,-5.0,0,2018-2019
0,1.6,1.0,4.0,1,2018-2019
0,1.0,1.4,9.0,0,2018-2019
0,1.2,0.4,9.0,0,2018-2019
0,1.0,1.2,-1.0,1,2018-2019
0,1.6,1.2,15.0,1,2018-2019
0,2.2,1.8,-1.0,0,2018-2019
0,2.4,1.2,-8.0,0,2018-2019
0,0.6,1.0,-4.0,1,2018-2019
0,1.2,1.4,-8.0,0,2018-2019
0,1.6,0.8,16.0,0,2018-2019
0,1.2,0.2,5.0,0,2018-2019
0,1.4,2.0,-2.0,0,2018-2019
0,2.2,1.6,24.0,1,2018-2019
0,1.6,1.0,8.0,0,2018-2019
0,1.6,1.8,0.0,1,2018-2019
0,1.4,1.0,11.0,1,2018-2019
0,1.0,1.8,-3.0,1,2018-2019
0,1.4,1.2,5.0,0,2018-2019
0,0.8,1.4,-2.0,0,2018-2019
0,1.0,1.0,-10.0,1,2018-2019
0,1.2,1.6,-16.0,0,2018-2019
0,1.6,1.2,6.0,0,2018-2019
0,1.0,2.2,-29.0,0,2018-2019
0,0.8,1.4,-19.0,0,2018-2019
0,1.2,1.4,4.0,1,2018-2019
0,1.0,1.0,-14.0,0,2018-2019
0,1.6,1.2,14.0,0,2018-2019
0,1.4,2.0,-3.0,0,2018-2019
0,1.4,1.6,-5.0,0,2018-2019
0,1.0,1.2,-2.0,0,2018-2019
0,0.8,2.4,-18.0,1,2018-2019
0,0.8,1.2,-15.0,0,2018-2019
0,1.8,1.2,0.0,1,2018-2019
0,2.0,1.2,5.0,1,2018-2019
0,1.4,1.2,-12.0,0,2018-2019
0,2.0,1.0,19.0,1,2018-2019
0,1.0,1.6,-14.0,0,2018-2019
0,1.8,1.4,4.0,0,2018-2019
0,2.2,1.2,36.0,1,2018-2019
0,1.2,1.2,-3.0,0,2018-2019
0,0.8,1.2,-3.0,1,2018-2019
0,1.6,1.0,8.0,1,2018-2019
0,1.0,0.6,-10.0,0,2018-2019
0,2.4,1.0,-2.0,0,2018-2019
0,2.0,1.2,2.0,0,2018-2019
0,1.2,1.2,3.0,1,2018-2019
0,1.0,2.0,-9.0,0,2018-2019
0,0.8,0.4,2.0,1,2018-2019
0,1.2,1.4,-14.0,0,2018-2019
0,1.2,1.2,2.0,1,2018-2019
0,2.0,2.0,4.0,1,2018-2019
0,1.0,1.8,-19.0,0,2018-2019
0,0.6,1.0,14.0,1,2018-2019
0,2.2,2.0,23.0,1,2018-2019
0,1.4,1.0,2.0,0,2018-2019
0,0.6,2.0,-13.0,0,2018-2019
0,2.4,1.6,9.0,1,2018-2019
0,1.0,0.8,4.0,1,2018-2019
0,0.4,1.6,-11.0,1,2018-2019
0,1.8,1.0,0.0,1,2018-2019
0,1.4,0.4,12.0,1,2018-2019
0,1.8,2.6,-16.0,1,2018-2019
0,1.2,1.2,-6.0,0,2018-2019
0,0.8,1.4,3.0,1,2018-2019
0,0.8,1.2,-14.0,0,2018-2019
0,0.2,0.8,0.0,1,2018-2019
0,2.4,1.2,28.0,1,2018-2019
0,2.4,1.4,8.0,0,2018-2019
0,1.2,2.4,-32.0,0,2018-2019
0,1.2,1.0,18.0,0,2018-2019
0,0.8,1.4,-6.0,0,2018-2019
0,1.6,2.2,-9.0,1,2018-2019
0,1.4,2.0,-4.0,1,2018-2019
0,1.0,1.8,-8.0,0,2018-2019
0,0.2,0.2,-6.0,0,2018-2019
0,1.4,2.4,2.0,1,2018-2019
0,2.0,0.6,29.0,1,2018-2019
0,1.4,0.8,13.0,1,2018-2019
0,2.0,1.6,-7.0,1,2018-2019
0,1.8,0.6,16.0,1,2018-2019
0,1.0,0.8,-8.0,1,2018-2019
0,1.2,1.2,1.0,1,2018-2019
0,0.0,1.8,-17.0,0,2018-2019
0,3.0,1.4,12.0,0,2018-2019
